app_id,ranking,chart,country_id,category_id,name,seller_name,url,Internal Country,internet_users,internet_penetration,cat_name,search_details,Include
541933937,1,free,7.0,6000,ZipRecruiter Job Search,"ZipRecruiter, Inc.",https://apps.apple.com/ca/app/ziprecruiter-job-search/id541933937?uo=4,Canada,35231377.02,92.70%,Business,job search_100,True
309735670,1,free,14.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/dk/app/indeed-job-search/id309735670?uo=4,Denmark,5717483.718,98.05%,Business,indeed_20,True
309735670,1,free,15.0,6000,Indeed Jobs,Indeed Inc.,https://apps.apple.com/de/app/indeed-jobs/id309735670?uo=4,Germany,73363634.58,88.13%,Business,indeed_20,True
589698942,1,free,46.0,6000,Glassdoor - Job Search & more,"Glassdoor, Inc.",https://apps.apple.com/ru/app/glassdoor-job-search-more/id589698942?uo=4,Russia,119090727.1,82.64%,Business,glassdoor_20,True
589698942,1,free,45.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/ro/app/glassdoor-job-search-tools/id589698942?uo=4,Romania,14205672.69,73.66%,Business,glassdoor_20,True
309735670,1,free,13.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/cz/app/indeed-job-search/id309735670?uo=4,Czechia,8651870.281,80.87%,Business,indeed_20,True
309735670,1,free,10.0,6000,Indeed: Búsqueda de empleo,Indeed Inc.,https://apps.apple.com/co/app/indeed-b%C3%BAsqueda-de-empleo/id309735670?uo=4,Colombia,33077385.89,65.01%,Business,indeed_20,True
309735670,1,free,10.0,6000,Indeed: Búsqueda de empleo,Indeed Inc.,https://apps.apple.com/co/app/indeed-b%C3%BAsqueda-de-empleo/id309735670?uo=4,Colombia,33077385.89,65.01%,Business,job search_100,True
309735670,1,free,9.0,6000,Indeed 工作搜索,Indeed Inc.,https://apps.apple.com/cn/app/indeed-%E5%B7%A5%E4%BD%9C%E6%90%9C%E7%B4%A2/id309735670?uo=4,China,766134643.6,54.30%,Business,indeed_20,True
589698942,1,free,44.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/qa/app/glassdoor-job-search-tools/id589698942?uo=4,Qatar,2871057.081,99.65%,Business,glassdoor_20,True
309735670,1,free,8.0,6000,Indeed: Búsqueda de empleo,Indeed Inc.,https://apps.apple.com/cl/app/indeed-b%C3%BAsqueda-de-empleo/id309735670?uo=4,Chile,15737894.47,82.33%,Business,indeed_20,True
309735670,1,free,48.0,6000,Indeed Jobs,Indeed Inc.,https://apps.apple.com/ch/app/indeed-jobs/id309735670?uo=4,Switzerland,8044930.658,93.15%,Business,indeed_20,True
589698942,1,free,43.0,6000,Glassdoor | Vagas de emprego,"Glassdoor, Inc.",https://apps.apple.com/pt/app/glassdoor-vagas-de-emprego/id589698942?uo=4,Portugal,7764868.542,75.35%,Business,glassdoor_20,True
309735670,1,free,48.0,6000,Indeed Jobs,Indeed Inc.,https://apps.apple.com/ch/app/indeed-jobs/id309735670?uo=4,Switzerland,8044930.658,93.15%,Business,job search_100,True
309735670,1,free,7.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/ca/app/indeed-job-search/id309735670?uo=4,Canada,35231377.02,92.70%,Business,indeed_20,True
309735670,1,free,7.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/ca/app/indeed-job-search/id309735670?uo=4,Canada,35231377.02,92.70%,Business,find a job_20,True
589698942,1,free,47.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/sa/app/glassdoor-job-search-tools/id589698942?uo=4,Saudi Arabia,33325482.14,95.72%,Business,glassdoor_20,True
309735670,1,free,74.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/eg/app/indeed-job-search/id309735670?uo=4,Egypt,58620081.79,57.28%,Business,indeed_20,True
309735670,1,free,17.0,6000,Indeed: Búsqueda de empleo,Indeed Inc.,https://apps.apple.com/es/app/indeed-b%C3%BAsqueda-de-empleo/id309735670?uo=4,Spain,42956709.6,90.72%,Business,job search_100,True
309735670,1,free,17.0,6000,Indeed: Búsqueda de empleo,Indeed Inc.,https://apps.apple.com/es/app/indeed-b%C3%BAsqueda-de-empleo/id309735670?uo=4,Spain,42956709.6,90.72%,Business,indeed_20,True
309735670,1,free,24.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/in/app/indeed-job-search/id309735670?uo=4,India,277122821.1,20.08%,Business,indeed_20,True
309735670,1,free,27.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/il/app/indeed-job-search/id309735670?uo=4,Israel,7999151.892,86.79%,Business,indeed_20,True
589698942,1,free,56.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/th/app/glassdoor-job-search-tools/id589698942?uo=4,Thailand,46523369.73,66.65%,Business,glassdoor_20,True
309735670,1,free,26.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/ie/app/indeed-job-search/id309735670?uo=4,Ireland,4221655.706,84.52%,Business,indeed_20,True
309735670,1,free,26.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/ie/app/indeed-job-search/id309735670?uo=4,Ireland,4221655.706,84.52%,Business,job search_100,True
309735670,1,free,25.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/id/app/indeed-job-search/id309735670?uo=4,Indonesia,130445190,47.69%,Business,indeed_20,True
589698942,1,free,50.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/sk/app/glassdoor-job-search-tools/id589698942?uo=4,Slovakia,4522837.99,82.85%,Business,glassdoor_20,True
309735670,1,free,6.0,6000,Indeed Pesquisa de Empregos,Indeed Inc.,https://apps.apple.com/br/app/indeed-pesquisa-de-empregos/id309735670?uo=4,Brazil,149714694.7,70.43%,Business,indeed_20,True
309735670,1,free,23.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/hu/app/indeed-job-search/id309735670?uo=4,Hungary,7836049.646,80.37%,Business,indeed_20,True
309735670,1,free,20.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/gr/app/indeed-job-search/id309735670?uo=4,Greece,8108585.232,75.67%,Business,indeed_20,True
309735670,1,free,59.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/gb/app/indeed-job-search/id309735670?uo=4,UK,62185322.95,92.52%,Business,indeed_20,True
589698942,1,free,49.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/sg/app/glassdoor-job-search-tools/id589698942?uo=4,Singapore,5057482.836,88.95%,Business,glassdoor_20,True
309735670,1,free,19.0,6000,Indeed: Recherche d’Emploi,Indeed Inc.,https://apps.apple.com/fr/app/indeed-recherche-demploi/id309735670?uo=4,France,56163971.98,83.34%,Business,indeed_20,True
309735670,1,free,19.0,6000,Indeed: Recherche d’Emploi,Indeed Inc.,https://apps.apple.com/fr/app/indeed-recherche-demploi/id309735670?uo=4,France,56163971.98,83.34%,Business,job search_100,True
309735670,1,free,18.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/fi/app/indeed-job-search/id309735670?uo=4,Finland,4955932.674,89.61%,Business,indeed_20,True
589698942,1,free,54.0,6000,Glassdoor - Job Search & more,"Glassdoor, Inc.",https://apps.apple.com/se/app/glassdoor-job-search-more/id589698942?uo=4,Sweden,9783323.857,94.49%,Business,glassdoor_20,True
309735670,1,free,22.0,6000,Indeed 工作搜尋,Indeed Inc.,https://apps.apple.com/hk/app/indeed-%E5%B7%A5%E4%BD%9C%E6%90%9C%E5%B0%8B/id309735670?uo=4,Hong Kong,6864057.73,91.74%,Business,indeed_20,True
309735670,1,free,6.0,6000,Indeed Pesquisa de Empregos,Indeed Inc.,https://apps.apple.com/br/app/indeed-pesquisa-de-empregos/id309735670?uo=4,Brazil,149714694.7,70.43%,Business,job search_100,True
309735670,1,free,5.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/be/app/indeed-job-search/id309735670?uo=4,Belgium,10443213.78,90.37%,Business,indeed_20,True
309735670,1,free,3.0,6000,Indeed Job Search,Indeed Inc.,https://apps.apple.com/au/app/indeed-job-search/id309735670?uo=4,Australia,22230862.18,86.55%,Business,indeed_20,True
589698942,1,free,27.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/il/app/glassdoor-job-search-tools/id589698942?uo=4,Israel,7999151.892,86.79%,Business,glassdoor_20,True
589698942,1,free,27.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/il/app/glassdoor-job-search-tools/id589698942?uo=4,Israel,7999151.892,86.79%,Business,job search_100,True
482877505,1,free,62.0,6000,Naukri.com Job Search,Info Edge (India) Ltd,https://apps.apple.com/jp/app/naukri-com-job-search/id482877505?uo=4,Japan,114865144,91.28%,Business,job search_100,True
288429040,1,free,154.0,6000,LinkedIn: Job Search & News,LinkedIn Corporation,https://apps.apple.com/ua/app/linkedin-job-search-news/id288429040?uo=4,Ukraine,27607643.09,62.55%,Business,find a job_20,True
589698942,1,free,26.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/ie/app/glassdoor-job-search-tools/id589698942?uo=4,Ireland,4221655.706,84.52%,Business,glassdoor_20,True
589698942,1,free,24.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/in/app/glassdoor-job-search-tools/id589698942?uo=4,India,277122821.1,20.08%,Business,job search_100,True
288429040,1,free,55.0,6000,LinkedIn,LinkedIn Corporation,https://apps.apple.com/tw/app/linkedin/id288429040?uo=4,Taiwan,19751660,83.80%,Business,find a job_20,True
589698942,1,free,23.0,6000,Glassdoor - Job Search Tools,"Glassdoor, Inc.",https://apps.apple.com/hu/app/glassdoor-job-search-tools/id589698942?uo=4,Hungary,7836049.646,80.37%,Business,glassdoor_20,True
288429040,1,free,50.0,6000,LinkedIn: Job Search & News,LinkedIn Corporation,https://apps.apple.com/sk/app/linkedin-job-search-news/id288429040?uo=4,Slovakia,4522837.99,82.85%,Business,find a job_20,True
288429040,1,free,50.0,6000,LinkedIn: Job Search & News,LinkedIn Corporation,https://apps.apple.com/sk/app/linkedin-job-search-news/id288429040?uo=4,Slovakia,4522837.99,82.85%,Business,job search_100,True
